node,short_name
141,GLC
28,NAD+
207,G15L
30,NADH
58,H2O
208,GLCN
209,KDG
58,H2O
60,ATP
213,KDPG
61,ADP
202,G3P
188,PYR
41,NADP+
58,H2O
216,3PG
39,NADPH
212,2PG
33,PEP
58,H2O
61,ADP
60,ATP
188,PYR
43,CoA
217,Fd[ox]
218,AcCoA
90,CO2
219,Fd[red]
230,OAA
58,H2O
238,CIT
43,CoA
58,H2O
239,ACO
58,H2O
240,ICIT
28,NAD+
241,AKG
90,CO2
30,NADH
43,CoA
217,Fd[ox]
90,CO2
242,SucCoA
219,Fd[red]
60,ATP
43,CoA
243,SUCC
61,ADP
62,Pi
48,QN
244,FUM
245,QL
233,MAL
58,H2O
28,NAD+
30,NADH
210,GLAL
188,PYR
58,H2O
41,NADP+
211,GLYC
39,NADPH
60,ATP
61,ADP
41,NADP+
90,CO2
39,NADPH
229,GTP
90,CO2
231,GDP
232,HCO3-
62,Pi
199,DHAP
200,F16P
58,H2O
196,F6P
62,Pi
227,bG6P
236,aG6P
237,aG1P
60,ATP
253,ADP-GLC
251,PPi
61,ADP
53,GLG
62,Pi
599,DEXT
58,H2O
195,AH6P
234,FD
205,Ru5P
74,R5P
60,ATP
4,AMP
318,PRPP
75,S7P
76,Xu5P
203,E4P
179,H2S
41,NADP+
58,H2O
39,NADPH
483,SO3
456,PAP
484,Thio[ox]
482,PAPS
485,Thio[red]
60,ATP
181,SO4
481,APS
251,PPi
60,ATP
61,ADP
58,H2O
4,AMP
62,Pi
60,ATP
61,ADP
235,"1,3BPG"
30,NADH
62,Pi
28,NAD+
246,GLX
58,H2O
43,CoA
11,GLU
58,H2O
41,NADP+
286,NH3
39,NADPH
42,TRE
61,ADP
27,ALA
9,ASP
230,OAA
140,GLCex
63,H+
298,ACLAC
299,DHMBUT
14,VAL
314,3PHP
301,IPM
315,3PSER
20,SER
12,GLY
300,KIV
662,IBCoA
663,MACoA
664,HIBCoA
665,HIB
666,MMSA
44,FAD
592,FADH2
37,BH4
313,MBH4
177,NH4+